Country Name,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
East Asia & Pacific,8.52573310989863,9.31410970097304,10.0161588692085,10.4328632601078,10.5038846802025,10.8114333403139,10.5167159237229,10.1622458444008,10.1661557977015,10.4769976775116,9.93847780208865,10.0306461969279,9.80999553518424,9.91508509853824,10.0789836123099,10.3737310983096,10.1723705714036,9.91386329292966,9.49259830164546,9.66494387711945,11.2111193407871,11.2015815598313,12.1078773637257,12.3955593912096,12.1666053223709,12.5489844538871
Europe & Central Asia,19.6266322145125,18.8702510997097,18.8836785598924,19.1037445315388,19.0338866297935,18.5894593087407,17.6718619549443,15.9683718150605,15.9369423718225,19.8390562915327,19.979046732893,19.720147025399,20.5533679317488,20.9263703344331,20.5293575348416,19.9395842536864,19.1126524272644,17.9014936511078,16.8348158197734,16.4684902090876,18.1673446794828,17.5268944001185,15.2454214154637,14.5150047552634,14.1147242642369,13.9834616779447
Latin America & Caribbean,17.2218590122788,16.6069041666164,17.6174605599458,17.5635718369654,17.0784323497113,16.3858159603631,15.3770952144343,14.6681422247846,14.2795409603686,15.9354649020309,15.0131216379815,14.4312664840494,13.7473056973294,13.9431135691038,13.7748584324722,14.7193152619745,16.9583053217877,17.3917980629627,17.3527358350161,17.4388782329943,20.6451495481824,18.5162186667071,14.7694454207095,13.4155122595275,12.847813118133,12.1857971727692
North America,9.59943422187877,10.7164718833738,12.0937080348912,12.4807421979969,11.9462629595406,11.348390444584,10.5415852985573,10.5236555233618,12.6303670089576,17.2859208498073,18.0039206586195,16.9547092151093,16.0052406794026,15.3392305856021,13.3914107329406,11.7393293104803,10.6347815021878,9.42630984922194,8.8071315592601,8.60203114109222,15.3909013066417,10.0677147902178,8.29186665225815,8.22703689282059,9.34257431150476,9.76897320720163
South Asia,18.9948821687399,19.100077822808,19.3313656352959,19.2727410412033,19.5393912394284,19.7661191325033,19.8348583200886,20.2640410012392,20.804136620782,21.3121109501152,21.3117880273497,21.71517396031,22.2587560114596,22.6864026549355,22.9418921655379,23.2066330621065,23.491518571839,23.8944709114911,24.2603877831081,21.619085107173,23.436683397448,20.0257120855964,17.1003465984888,14.8970515157422,15.1436397289562,15.4005010490396
Sub-Saharan Africa,12.1340635116396,12.0857571429497,11.9912543231791,11.9655815720251,11.778302181863,11.6805842281429,11.5395039149647,11.4701233574656,11.4418711116418,11.6611695248244,12.197951613844,12.1817540140171,11.9350517524947,11.4479766210175,11.3271907370558,11.3327418972659,11.3322100265287,11.3243229844793,11.3166542239126,11.511323943247,12.4828473376589,12.0042772558075,10.7046853582371,10.2366531274131,10.0814733052881,10.0716656610395
"Middle East, North Africa, Afghanistan & Pakistan",17.5796378454523,18.0232550480833,17.9410862148356,17.7437278392026,16.4281883614836,16.9832609252667,16.417259904435,15.4448021178829,15.5434783279344,15.2668203524096,15.8107206213303,16.4868688725079,19.681146272173,18.7624294866822,18.0817661171852,20.1218786402728,19.7632523827358,20.7308696008196,20.1892343958876,19.7871540879111,21.1140389940499,20.586998577045,18.9027883316714,18.4990482305149,18.5302013668538,18.6669980663926
