Series Name,Country Name,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",World,14.267700443215,14.482476288233,14.8761808524599,14.9950423666113,14.840542669043,14.8820878672376,14.5066496136631,14.1525335814918,14.3385874024958,15.2834887934357,15.2274268208786,15.3131593612541,15.6790637599771,15.688531731258,15.6010875515714,15.9570393625742,16.0420057422403,16.0753513132444,15.8902161012964,15.2535897614854,17.0977967239717,15.6599774357967,14.1324790309189,13.3650029579599,13.2983540637608,13.4074006990679
GDP (current US$),World,33898156427205.9,33690417699612.7,34991525564916.9,39243276986261.9,44225384449869.8,47900489808168.9,51923507284496,58525785801185.8,64311729364641.3,60982255960004.4,66811191491614.9,74309709353789.2,75960594595757,78034892841179.2,80054888775431.1,75621913961646.2,76831684012526.2,81839102917044.7,87050964956078.4,88483262418196.6,85912761035231.2,98140475264975.9,102251524725531,106741647821064,110982661180013,..
"Inflation, consumer prices (annual %)",World,3.43351563418767,3.83657262052543,2.90799857032207,3.02504526252236,3.51799903099596,4.10725070715931,4.26717463390264,4.81023704342912,8.94995335353387,2.86044855902674,3.32634463368643,4.82239636013325,3.72532666110646,2.65167342916577,2.39371597209792,1.43702380935655,1.59691227583204,2.22314331448899,2.44258329692817,2.227478809383,1.90509722047501,3.4754032028988,7.98518671835033,5.87010268787553,2.97200477643618,..
Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),World,5.6472698513851,5.62463775833013,5.60825351777113,5.76995931123936,5.92132929642632,6.03902946078917,6.13104199328729,6.23496386082744,6.20079150610529,6.06908978663656,6.3067456968454,6.42191846103426,6.4369102162224,6.46220227013774,6.42866123708031,6.33088147216719,6.27750188743078,6.30655788634374,6.37754017249756,6.34767800823886,6.09697568101043,6.32096644674578,6.31874285317168,6.34127494478487,6.35969282924277,..
